objectid,filename,title,creator,date,description,glaze,subject,color,clay,techniques,weight,dimensions,location,type,format,filedate,filesize,rights,rightsstatement
coll001,PXL_20250428_011124551.jpg,Blue blob coaster,"Uichanco, Annie",2024-02-28,Small blob-shaped plate or dish with raised edges and two shades of blue.,schutte blue; blue opaque,plate,blue,white,hand-built; coil; slab,5.5 oz,3.75 x 4 x .5 in,Iowa City,Image;StillImage,image/jpeg,2025-04-27,1.11 MB,Copyright Annie Uichanco,https://rightsstatements.org/page/InC/1.0/?language=en
coll002,PXL_20250428_011150543.jpg,Wavy plate,"Uichanco, Annie",2024-02-23,Medium white plate with wavy edges.,snow,plate,white,white,hand-built; slab,1 lb 3.3 oz,7.25 x 7.25 x .75 in,Iowa City,Image;StillImage,image/jpeg,2025-04-27,723 KB,Copyright Annie Uichanco,https://rightsstatements.org/page/InC/1.0/?language=en
coll003,PXL_20250428_011206528.jpg,Concentric dip plate,"Uichanco, Annie",2024-04-12,"Thrown plate with two bowls within that could be used for dip or side, rims lined with white dots.",Karen's Klear,plate; bowl,brown,red,thrown; underglaze,12.4 oz,6.5 x 6.5 x 2 in,Iowa City,Image;StillImage,image/jpeg,2025-04-27,934 KB,Copyright Annie Uichanco,https://rightsstatements.org/page/InC/1.0/?language=en
coll004,PXL_20250428_011221011.jpg,Bubble plate,"Uichanco, Annie",2024-04-12,"Thrown plate inspired by a TikTok trend, with a large crack down the middle.",antique green,plate,blue,white,thrown,15 oz,6 x 6 x 1 in,Iowa City,Image;StillImage,image/jpeg,2025-04-27,1.21 MB,Copyright Annie Uichanco,https://rightsstatements.org/page/InC/1.0/?language=en
coll005,PXL_20250428_011238665.jpg,Annie's egg cup,"Uichanco, Annie",2023-04-11,"Extruded and hand-built egg cup that has ""Annie's egg"" stamped on the base.",blue opaque; baby blue,cup,blue,white,hand-built; extruded,6.9 oz,3.75 x 3.5 x 3.25 in,Iowa City,Image;StillImage,image/jpeg,2025-04-27,1.02 MB,Copyright Annie Uichanco,https://rightsstatements.org/page/InC/1.0/?language=en
coll006,PXL_20250428_011256831.jpg,Wonky cup,"Uichanco, Annie",2023-04-18,"Slab built cup with ribbed walls, squeezed with hand (by accident) for a wonky effect. Because I put a plastic bag over the cup for a more stable drying process, I accidentally grabbed the cup too early, creating the wonky effect.",blue opaque; baby blue,cup,blue,white,hand-built; slab,7.1 oz,3 x 3 x 2.9 in,Iowa City,Image;StillImage,image/jpeg,2025-04-27,767 KB,Copyright Annie Uichanco,https://rightsstatements.org/page/InC/1.0/?language=en
coll007,PXL_20250428_011330918.jpg,Butter dish,"Uichanco, Annie",2024-03-02,"Slab built butter dish in the shape of a house with a red roof, yellow door, windows, white walls, and a green base. In planning measurements, I did not accurately account for clay shrinkage during the drying process, so only half a stick of butter comfortably fits in the dish.",Karen's Klear,kitchen misc,red; green; white,white,hand-built; slab; underglaze,1 lb 11 oz,6 x 3.25 x 4 in,Iowa City,Image;StillImage,image/jpeg,2025-04-27,890 KB,Copyright Annie Uichanco,https://rightsstatements.org/page/InC/1.0/?language=en
coll008,PXL_20250428_011400803.jpg,Onion holder,"Uichanco, Annie",2024-04-13,"Vertical ceramic basket that could be used for produce, with wide holes that allow for airflow.",snow,kitchen misc,white,white,hand-built,1 lb 8.1 oz,5.5 x 5.5 x 8 in,Iowa City,Image;StillImage,image/jpeg,2025-04-27,1.02 MB,Copyright Annie Uichanco,https://rightsstatements.org/page/InC/1.0/?language=en
coll009,PXL_20250428_011448407.jpg,Popcorn bowl,"Uichanco, Annie",2023-07-22,"Hand-built coil bowl with fluted elements along the side. There's a large crack on the side, so this bowl can only be used for solids and no liquids.",nutmeg,bowl,brown,white,hand-built; coil,1 lb 13.3 oz,6.5 x 6 x 4 in,Iowa City,Image;StillImage,image/jpeg,2025-04-27,980 KB,Copyright Annie Uichanco,https://rightsstatements.org/page/InC/1.0/?language=en
coll010,PXL_20250428_011513265.jpg,Small coil bowl,"Uichanco, Annie",2023-03-29,"Hand-built coil bowl with a large crack along the side and the base. Good for holding small produce like limes or garlic, but no liquids.",nutmeg,bowl,brown,white,hand-built; coil,12.4 oz,5.5 x 5.5 x 2.5 in,Iowa City,Image;StillImage,image/jpeg,2025-04-27,917 KB,Copyright Annie Uichanco,https://rightsstatements.org/page/InC/1.0/?language=en
